"CO=HC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
3n35_3,4,12461.2,12667.5,48.0,31.0,12461.2,12736.6,65.0,44.0,12463.0,12977.8,45.0,29.0,12461.8,12614.8,49.0,33.0
3n35_4,5,13072.6,13305.0,92.0,71.0,13072.6,13213.3,89.0,68.0,13072.7,13353.8,94.0,74.0,13072.6,13307.7,60.0,41.0
3n40_1,2,11022.3,11509.7,25.0,16.0,11060.8,11471.3,27.0,17.0,11086.4,11282.2,37.0,25.0,11086.4,11399.9,39.0,27.0
3n40_2,3,11276.0,11529.4,48.0,37.0,11297.7,11446.5,42.0,28.0,11296.9,11705.9,49.0,35.0,11297.7,11499.1,44.0,31.0
3n40_3,4,11577.2,12031.3,53.0,36.0,11615.4,12133.0,70.0,54.0,11641.3,11829.2,68.0,51.0,11642.0,11854.1,66.0,50.0
3n40_4,5,11855.0,12197.5,60.0,41.0,11892.8,12373.0,67.0,49.0,11909.1,12319.7,80.0,59.0,11911.1,12092.5,67.0,47.0
3n45_1,2,11927.6,12234.2,40.0,28.0,11927.6,12236.1,39.0,27.0,11926.8,12116.9,41.0,29.0,11927.6,11984.6,49.0,37.0
3n45_2,3,12086.7,12274.2,48.0,33.0,12086.7,12136.8,43.0,29.0,12086.7,12262.8,44.0,30.0,12086.7,12093.8,45.0,31.0
3n45_3,4,12370.8,12420.7,41.0,24.0,12370.8,12465.9,60.0,39.0,12370.2,12522.0,46.0,29.0,12370.8,12409.2,57.0,40.0
3n45_4,5,12652.5,12758.4,58.0,38.0,12652.5,12921.9,58.0,38.0,12649.3,12721.2,63.0,44.0,12652.5,12652.5,94.0,56.0
3n50_1,2,12481.5,13065.5,42.0,26.0,12485.1,13046.7,58.0,41.0,12482.3,12790.2,68.0,51.0,12485.9,12852.6,48.0,32.0
3n50_2,3,12904.4,13371.7,57.0,37.0,12901.3,13276.2,53.0,33.0,12902.2,13210.8,62.0,41.0,12901.3,13136.5,51.0,31.0
3n50_3,4,13282.1,13822.0,128.0,105.0,13284.7,13592.6,48.0,26.0,13281.8,13677.6,82.0,59.0,13287.3,13492.6,82.0,61.0
3n50_4,5,13810.3,14009.2,158.0,126.0,13808.5,14047.8,155.0,124.0,13802.0,14413.7,99.0,72.0,13812.6,13896.9,122.0,96.0
4n10_1,2,3976.05,4281.16,3.0,0.0,4000.05,4000.05,3.0,0.0,4024.05,4352.89,3.0,0.0,4058.17,4385.8,5.0,1.0
4n10_2,3,4565.21,5143.94,5.0,0.0,4606.46,4968.71,9.0,4.0,4682.05,4815.84,6.0,0.0,4746.02,4865.5,9.0,3.0
4n10_3,4,5217.93,5334.97,8.0,1.0,5245.68,5260.73,7.0,1.0,5243.54,5492.61,8.0,0.0,5245.68,5245.68,8.0,0.0
4n10_4,5,5711.06,5711.06,14.0,5.0,5719.81,5719.89,19.0,9.0,5717.36,5817.01,24.0,13.0,5719.81,5719.85,24.0,14.0
4n15_1,2,4554.7,5183.11,6.0,2.0,4577.5,4784.15,6.0,2.0,4577.5,4784.15,6.0,2.0,4577.5,4784.15,6.0,2.0
4n15_2,3,4943.81,5055.73,9.0,3.0,4943.81,5055.73,8.0,2.0,4943.81,5071.28,9.0,3.0,4943.81,4951.33,9.0,3.0
4n15_3,4,5256.62,5497.37,11.0,4.0,5256.62,5321.36,14.0,7.0,5256.56,5389.29,16.0,9.0,5256.62,5329.04,10.0,3.0
4n15_4,5,5627.3,5627.3,30.0,19.0,5627.3,5765.14,15.0,4.0,5627.24,5904.03,25.0,15.0,5627.3,5627.3,29.0,19.0
4n20_1,2,6336.58,6719.67,10.0,3.0,6336.58,6721.82,9.0,2.0,6335.48,6713.75,12.0,5.0,6336.58,6602.01,10.0,2.0
4n20_2,3,6875.5,7307.67,13.0,5.0,6875.5,7200.62,18.0,10.0,6873.98,6970.97,23.0,14.0,6875.5,6877.64,15.0,7.0
4n20_3,4,7546.81,7546.81,18.0,7.0,7546.81,7661.2,19.0,8.0,7544.51,7546.81,19.0,8.0,7546.81,7547.89,25.0,14.0
4n20_4,5,8013.97,8326.47,53.0,40.0,8018.47,8312.14,36.0,21.0,8022.97,8310.58,26.0,9.0,8058.97,8147.23,19.0,5.0
4n25_1,2,7158.85,7352.8,14.0,6.0,7158.85,7789.94,12.0,3.0,7158.85,7215.89,13.0,4.0,7158.85,7413.71,12.0,4.0
4n25_2,3,7557.48,7821.83,17.0,7.0,7570.98,7773.4,17.0,7.0,7577.28,7780.24,29.0,18.0,7574.83,7759.24,34.0,24.0
4n25_3,4,7963.76,8186.53,33.0,20.0,7964.36,8173.38,20.0,8.0,7965.94,8083.53,31.0,18.0,7966.98,7966.98,18.0,6.0
4n25_4,5,8247.97,8325.01,37.0,22.0,8247.97,8341.55,27.0,12.0,8247.97,8771.48,43.0,27.0,8247.97,8385.48,24.0,9.0
4n30_1,2,8225.74,8365.31,22.0,11.0,8225.74,8602.68,22.0,11.0,8223.26,8443.65,21.0,10.0,8225.74,8332.29,20.0,9.0
4n30_2,3,8547.79,8579.36,26.0,14.0,8547.79,8756.75,15.0,3.0,8546.37,8576.09,19.0,6.0,8547.79,8559.9,19.0,7.0
4n30_3,4,9037.26,9182.93,42.0,27.0,9037.26,9455.49,43.0,29.0,9035.54,9341.64,49.0,33.0,9037.5,9197.7,72.0,57.0
4n30_4,5,9497.42,9728.74,73.0,52.0,9497.74,9680.22,90.0,70.0,9495.59,9755.14,51.0,30.0,9501.84,9589.07,83.0,63.0
4n35_1,2,8573.49,9578.57,25.0,15.0,8573.49,9325.85,25.0,14.0,8573.28,9203.87,23.0,12.0,8573.49,9051.99,18.0,8.0
4n35_2,3,9144.08,9709.77,47.0,33.0,9145.01,9744.65,42.0,29.0,9143.4,9567.43,48.0,34.0,9145.39,9453.17,30.0,16.0
4n35_3,4,9635.32,9805.72,40.0,24.0,9640.17,10321.2,29.0,14.0,9632.68,10333.4,50.0,34.0,9636.68,9820.65,49.0,33.0
4n35_4,5,10003.5,10260.7,57.0,40.0,10003.5,10357.2,33.0,16.0,10003.1,10832.1,44.0,25.0,10003.0,10049.2,29.0,12.0
4n40_1,2,9443.67,9727.05,46.0,34.0,9443.67,9701.63,39.0,27.0,9443.67,9519.75,40.0,28.0,9443.67,9529.24,39.0,27.0
4n40_2,3,9701.58,9958.47,58.0,43.0,9701.58,10137.6,62.0,47.0,9701.98,9919.41,52.0,36.0,9701.58,9918.37,38.0,24.0
4n40_3,4,10142.9,10466.5,31.0,13.0,10119.9,10224.2,48.0,30.0,10122.9,10671.6,30.0,12.0,10160.8,10205.7,61.0,42.0
4n40_4,5,10491.1,10659.6,69.0,50.0,10491.1,10773.2,57.0,35.0,10491.1,10716.7,81.0,59.0,10491.1,10703.2,74.0,54.0
4n45_1,2,11386.0,11934.3,59.0,44.0,11397.1,11952.9,42.0,26.0,11395.1,11855.3,42.0,27.0,11397.1,11872.5,49.0,35.0
4n45_2,3,11797.2,12256.0,63.0,48.0,11803.2,12580.9,58.0,42.0,11809.5,12459.9,54.0,36.0,11840.6,12168.9,57.0,40.0
4n45_3,4,12397.9,12949.0,44.0,23.0,12401.8,13112.2,49.0,28.0,12398.9,12908.7,57.0,36.0,12417.6,12723.2,47.0,27.0
4n45_4,5,12990.7,13403.0,96.0,70.0,12990.9,13181.5,77.0,55.0,12988.1,13421.3,118.0,94.0,12990.9,13213.7,93.0,71.0
4n50_1,2,13355.9,13984.1,59.0,43.0,13385.8,13866.6,50.0,36.0,13384.9,13835.6,50.0,34.0,13385.8,13715.1,54.0,39.0
4n50_2,3,14018.1,14726.0,44.0,25.0,14018.2,14494.6,62.0,44.0,14016.8,14551.1,81.0,62.0,14024.7,14357.2,59.0,40.0
4n50_3,4,14694.1,15107.1,79.0,56.0,14715.6,15301.1,68.0,44.0,14689.6,15151.5,59.0,37.0,14697.8,15124.1,75.0,51.0
4n50_4,5,15435.4,15493.4,65.0,40.0,15424.4,15729.1,130.0,103.0,15406.6,15890.8,53.0,25.0,15447.3,15695.3,66.0,41.0
5n10_1,2,4112.64,4112.64,3.0,0.0,4112.64,4167.75,2.0,0.0,4112.64,4112.64,3.0,0.0,4112.64,4112.64,3.0,0.0
5n10_2,3,4406.55,4543.77,4.0,0.0,4406.55,4530.95,4.0,0.0,4406.55,4406.55,4.0,0.0,4406.55,4406.55,4.0,0.0
5n10_3,4,4826.83,4828.55,9.0,2.0,4826.83,4970.08,11.0,3.0,4826.83,4890.52,10.0,3.0,4826.83,4890.52,7.0,0.0
5n10_4,5,4954.15,4954.15,6.0,0.0,4954.15,4954.15,6.0,0.0,4954.12,4954.15,7.0,0.0,4954.15,4954.15,6.0,0.0
5n15_1,2,4524.78,4698.43,4.0,0.0,4524.78,4897.16,4.0,0.0,4522.03,4524.78,5.0,0.0,4524.78,4524.78,5.0,0.0
5n15_2,3,5008.03,5410.84,6.0,0.0,5041.35,5254.93,7.0,1.0,5073.35,5257.32,7.0,0.0,5174.06,5294.85,7.0,0.0
5n15_3,4,5425.54,5425.54,12.0,3.0,5449.54,5462.8,16.0,7.0,5473.54,5537.29,15.0,6.0,5514.41,5514.72,11.0,1.0
5n15_4,5,6149.3,6150.1,18.0,7.0,6161.49,6316.22,26.0,13.0,6168.06,6282.59,19.0,7.0,6169.23,6172.68,25.0,14.0
5n20_1,2,7004.01,7717.42,9.0,3.0,7004.01,7552.86,9.0,2.0,7003.41,7424.31,8.0,1.0,7004.01,7461.44,8.0,1.0
5n20_2,3,7712.5,8143.49,13.0,5.0,7712.5,8032.89,19.0,10.0,7711.03,8171.06,16.0,7.0,7712.5,7948.56,17.0,8.0
5n20_3,4,8344.68,8560.68,16.0,6.0,8344.68,8841.49,18.0,8.0,8344.6,9055.45,16.0,5.0,8344.68,8345.43,20.0,9.0
5n20_4,5,9102.97,9156.68,26.0,11.0,9111.22,9496.47,27.0,10.0,9119.47,9199.03,24.0,9.0,9148.51,9156.68,30.0,16.0
5n25_1,2,8607.44,9262.16,37.0,28.0,8607.44,9258.69,25.0,17.0,8607.44,8833.21,30.0,22.0,8607.44,8905.65,19.0,11.0
