"CO=LC, H=3",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
3n35_3,4,4360.64,4402.3,21.0,11.0,4708.26,4708.26,26.0,15.0,4930.27,4930.27,26.0,15.0,5000.88,5000.88,40.0,25.0
3n35_4,5,4691.15,4691.15,44.0,27.0,5160.83,5262.6,28.0,15.0,5462.61,5462.61,55.0,27.0,5636.46,5679.02,56.0,37.0
3n40_1,2,3407.43,3513.7,9.0,1.0,3544.43,3634.2,22.0,12.0,3633.26,3754.52,23.0,12.0,3716.68,3945.9,18.0,9.0
3n40_2,3,3617.51,3868.17,31.0,20.0,3753.79,3801.72,42.0,31.0,3867.9,3977.52,40.0,28.0,3976.73,4152.49,26.0,13.0
3n40_3,4,3823.11,3895.62,27.0,15.0,4022.24,4039.35,32.0,20.0,4150.57,4184.41,43.0,28.0,4276.13,4569.89,31.0,15.0
3n40_4,5,4001.64,4088.72,34.0,20.0,4304.8,4581.69,25.0,8.0,4395.64,4529.12,58.0,40.0,4542.06,4814.09,51.0,34.0
3n45_1,2,3619.36,3836.25,24.0,13.0,3678.86,3724.49,30.0,18.0,3726.14,3801.7,25.0,12.0,3813.95,3878.58,33.0,22.0
3n45_2,3,3777.47,4012.12,36.0,25.0,3819.97,3835.51,36.0,23.0,3854.41,3943.52,43.0,30.0,3959.26,3984.71,27.0,13.0
3n45_3,4,3971.55,4073.89,49.0,34.0,4052.13,4207.14,39.0,24.0,4198.53,4198.53,64.0,39.0,4208.2,4317.08,45.0,27.0
3n45_4,5,4181.72,4336.75,41.0,25.0,4341.56,4617.46,61.0,41.0,4372.06,4507.46,44.0,26.0,4499.67,4514.23,38.0,17.0
3n50_1,2,3986.31,4876.88,33.0,22.0,4179.38,4465.6,46.0,33.0,4401.96,4752.36,37.0,19.0,4374.89,4807.53,35.0,18.0
