"CO=LC,H=6",,\rho=50,,,\rho=75,,,\rho=100,,,\rho=300,,
Instance,Veh,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST
9n100_4,5,20610.0,993.0,781.0,21196.0,2068.0,1785.0,21329.4,868.0,618.0,21281.7,1591.0,1313.0
9n200_1,2,22353.8,2400.0,2154.3,23537.4,1543.0,897.0,22701.8,2695.0,2394.0,22916.8,2400.0,2116.9
9n200_2,3,23540.6,2090.0,1718.0,24346.6,2400.0,1827.9,23629.7,2733.0,2379.0,23653.9,2400.0,2195.7
9n200_3,4,24961.1,2400.0,2031.6,25579.6,2400.0,1578.9,25213.2,3178.0,2833.0,25494.6,2400.0,2105.0
9n200_4,5,26624.4,2400.0,1966.3,27792.7,2400.0,1615.5,26851.5,3326.0,2763.0,27225.0,2400.0,2102.2
10n50_1,2,10133.3,354.0,290.0,10683.9,490.0,435.0,10492.6,301.0,238.0,10491.9,508.0,447.0
10n50_2,3,11553.1,433.0,370.0,12183.2,293.0,241.0,11988.4,687.0,607.0,12039.9,606.0,517.0
10n50_3,4,12907.1,488.0,420.0,13746.7,420.0,359.0,13968.8,448.0,361.0,14099.2,548.0,433.0
10n50_4,5,14200.5,338.0,261.0,15359.6,554.0,490.0,15592.9,530.0,437.0,15754.7,1107.0,967.0
10n100_1,2,14410.3,622.0,519.0,14875.1,1289.0,1122.0,14721.7,558.0,432.0,14964.5,591.0,453.0
10n100_2,3,15314.3,1025.0,861.0,15776.8,803.0,582.0,15547.5,1116.0,957.0,15935.4,660.0,490.0
10n100_3,4,16135.2,1296.0,1113.0,16891.9,1069.0,796.0,16319.7,972.0,783.0,16594.0,1240.0,1034.0
10n100_4,5,17180.0,1975.0,1793.0,17719.4,1328.0,1087.0,17657.6,1360.0,1095.0,17745.9,1250.0,984.0
10n200_1,2,22508.9,2400.0,2159.5,22911.5,2400.0,2039.2,22524.7,2360.0,2117.0,22688.2,1599.0,1344.0
10n200_2,3,23617.9,1778.0,1380.0,23882.3,2400.0,1994.9,23611.1,2706.0,2319.0,23668.5,2400.0,2214.4
10n200_3,4,24976.7,2400.0,2115.8,26013.6,2400.0,1777.9,24833.7,2536.0,2095.0,25194.1,2400.0,2033.8
10n200_4,5,26684.1,2400.0,2020.9,27879.4,2341.0,1023.0,26720.4,3662.0,3097.0,26725.6,2400.0,2082.1
