Instance  (n=10),UB,t,UB.1,t,LB,UB.2,t,Best,,sHGS,tHGS,BST,CostAvg,Gapb,GapAvg
U_R_N25_Q8_T12,13054.2,0,9993.56,1800,8747.69,8799.26,7199.0,8799.26,,8795.68,14131.0,13735.0,8804.53,-0.04,0.06
U_R_N25_Q18_T6,5564.38,0,3449.67,1800,3065.11,3214.79,7200.0,3214.79,,3200.03,18000.0,17383.0,3239.33,-0.46,0.76
U_R_N25_Q18_T9,5981.87,0,5350.71,1800,4556.26,4676.05,7198.0,4676.05,,4737.09,18000.0,17320.0,4769.57,1.31,2.0
U_R_N25_Q18_T12,7492.67,0,6961.32,1800,6155.47,6597.74,7199.0,6597.74,,6330.62,18430.0,6099.0,6416.09,-4.05,-2.75
U_R_N25_Q38_T6,3064.04,0,2048.07,1800,1704.36,1761.59,7200.0,1761.59,,1780.03,7246.0,5150.0,1822.78,1.05,3.47
U_R_N25_Q38_T9,5057.6,0,3219.04,1800,2777.69,2924.19,7199.0,2924.19,,2935.53,18000.0,17553.0,3010.43,0.39,2.95
U_R_N25_Q38_T12,6339.94,0,4263.77,1800,3387.46,3666.35,7199.0,3666.35,,3714.06,18003.0,17044.0,3798.17,1.3,3.6
R_RC_N25_Q8_T6,39952.4,0,34477.9,1800,31545.3,31573.3,7199.0,31573.3,,31594.3,7571.0,5100.0,31624.13,0.07,0.16
R_RC_N25_Q8_T9,48728.3,0,40879.19,1800,38927.0,38956.4,7199.0,38956.4,,38957.1,18000.0,17930.0,38991.5,0.0,0.09
R_RC_N25_Q8_T12,67835.2,0,48196.47,1800,44421.3,45072.1,7200.0,45072.1,,44696.4,18002.0,9874.0,44781.2,-0.83,-0.65
R_RC_N25_Q18_T6,18837.2,0,14086.27,1800,12809.3,13015.7,7199.0,13015.7,,12989.7,18000.0,16183.0,13042.08,-0.2,0.2
R_RC_N25_Q18_T9,47348.1,0,36437.21,1800,31439.1,32128.9,7199.0,32128.9,,31830.8,18000.0,537.0,31926.05,-0.93,-0.63
R_RC_N25_Q18_T12,25956.6,0,25724.0,1800,20560.5,20691.1,7198.0,20691.1,,20769.6,18004.0,15655.0,20806.6,0.38,0.56
R_RC_N25_Q38_T6,11935.0,0,5909.6,1800,5371.96,5665.7,7199.0,5665.7,,5500.45,9058.0,8878.0,5553.68,-2.92,-1.98
R_RC_N25_Q38_T9,20617.0,0,13019.36,1800,11234.0,11747.4,7199.0,11747.4,,11775.4,18000.0,15180.0,11996.88,0.24,2.12
R_RC_N25_Q38_T12,26483.5,0,14865.39,1800,11957.7,12412.1,7199.0,12412.1,,12427.8,18002.0,17805.0,12597.13,0.13,1.49
U_RC_N25_Q8_T6,7881.24,0,6916.03,1800,6083.32,6090.56,7200.0,6090.56,,6116.85,4354.0,3470.0,6116.85,0.43,0.43
U_RC_N25_Q8_T9,9582.61,0,6966.52,1800,5796.21,5900.69,7199.0,5900.69,,5836.15,11402.0,6522.0,5844.48,-1.09,-0.95
U_RC_N25_Q8_T12,8743.74,0,5623.77,1800,5081.56,5158.15,7200.0,5158.15,,5132.68,18002.0,11598.0,5136.96,-0.49,-0.41
U_RC_N25_Q18_T6,4008.62,0,3145.32,1800,2734.26,2848.64,7199.0,2848.64,,2900.12,10183.0,4160.0,2984.15,1.81,4.76
U_RC_N25_Q18_T9,4853.19,0,3736.42,1800,3253.77,3331.08,7198.0,3331.08,,3338.22,7201.0,6391.0,3357.62,0.21,0.8
U_RC_N25_Q18_T12,9535.76,0,8820.58,1800,7577.99,7842.27,7199.0,7842.27,,7710.86,18001.0,15736.0,7775.77,-1.68,-0.85
U_RC_N25_Q38_T6,2480.0,0,1501.74,1800,1356.69,1391.07,7200.0,1391.07,,1386.68,7200.0,6848.0,1392.59,-0.32,0.11
