"CO=LC,H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
4n10_1,2,3145.88,3147.41,5.0,0.0,3907.29,3957.51,10.0,3.0,4436.65,4563.68,15.0,6.0,5731.09,5731.09,19.0,6.0
4n10_2,3,3294.36,3294.6,10.0,3.0,4098.11,4098.11,9.0,0.0,4746.49,4746.79,12.0,1.0,6992.67,6997.47,37.0,19.0
4n10_3,4,3316.02,3316.02,7.0,0.0,4243.3,4243.3,10.0,0.0,4904.56,4904.56,14.0,1.0,8188.08,8198.56,49.0,25.0
4n10_4,5,3367.05,3367.05,9.0,0.0,4395.8,4395.8,13.0,0.0,5098.94,5098.94,22.0,3.0,9213.53,9214.49,99.0,72.0
4n15_1,2,4322.35,4367.68,24.0,13.0,4953.73,5095.58,20.0,8.0,5261.9,5480.45,54.0,36.0,5809.8,5850.78,44.0,25.0
4n15_2,3,4553.32,4625.54,15.0,4.0,5403.35,5560.76,35.0,18.0,6066.74,6096.92,49.0,32.0,6843.19,6902.86,41.0,18.0
4n15_3,4,4703.96,4703.96,43.0,30.0,5855.67,5928.59,35.0,20.0,6567.67,6592.31,36.0,20.0,7991.14,8089.15,70.0,38.0
4n15_4,5,4923.6,4923.6,20.0,6.0,6208.96,6208.99,25.0,5.0,7137.54,7137.54,70.0,58.0,9068.52,9068.52,312.0,292.0
4n20_1,2,6613.99,7058.98,16.0,5.0,7609.77,7627.44,66.0,46.0,7822.68,7988.1,61.0,35.0,8179.05,8482.96,75.0,49.0
4n20_2,3,7072.83,7075.4,38.0,20.0,8498.11,8637.1,58.0,39.0,9306.0,9638.08,160.0,136.0,9919.98,9985.73,151.0,117.0
4n20_3,4,7356.65,7356.65,39.0,22.0,9079.04,9079.84,120.0,101.0,10269.1,10361.4,83.0,59.0,11518.3,11664.7,128.0,86.0
4n20_4,5,7492.89,7492.89,34.0,11.0,9390.17,9392.3,52.0,27.0,10833.7,10836.3,113.0,87.0,13125.6,13164.6,259.0,222.0
4n25_1,2,6241.87,6534.91,76.0,53.0,6839.68,6933.9,70.0,46.0,7245.61,7317.17,103.0,77.0,7738.23,7790.34,74.0,47.0
4n25_2,3,6765.04,6867.65,94.0,64.0,7576.4,7710.89,186.0,152.0,8005.95,8061.58,133.0,97.0,8642.76,8776.61,226.0,185.0
4n25_3,4,7097.79,7238.64,81.0,51.0,8260.68,8397.09,163.0,131.0,8802.4,9096.1,361.0,322.0,9606.13,9649.06,379.0,333.0
4n25_4,5,7417.16,7417.94,75.0,43.0,8812.54,8935.96,87.0,54.0,9514.84,9760.6,207.0,172.0,10580.2,10719.3,301.0,240.0
4n30_1,2,7425.14,7836.36,97.0,69.0,7759.07,8519.58,184.0,152.0,7899.16,8063.7,219.0,178.0,8079.77,8235.92,138.0,100.0
4n30_2,3,8137.99,8284.75,91.0,55.0,8725.04,8848.73,234.0,199.0,8895.65,9605.56,204.0,166.0,9063.39,9119.02,345.0,300.0
