Detailed results on small-scaled data with CO=HC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
5n15_2,10536.45,10775.07,2.26,38.24,10561.4,0.24,285,10536.45,10536.45,0.0,10537.33,0.01,,10536.5,0.0,411.0,411.0,10536.51,0.0
5n15_3,11772.77,12284.27,4.34,35.87,11781.8,0.08,275,11772.77,11831.25,0.5,11772.77,0.0,,11772.8,0.0,587.0,587.0,11773.41,0.01
5n15_4,13109.35,14537.37,10.89,24.65,13148.3,0.30,156,13109.35,13109.35,0.0,13139.37,0.23,,13139.4,0.23,1797.0,1797.0,13144.79,0.27
5n15_5,14604.03,15848.47,8.52,21.42,14818.9,1.47,202,14604.03,14619.27,0.1,14607.32,0.02,,14607.2,0.02,874.0,641.0,14630.07,0.18
1n20_2,14238.1,14576.82,2.38,90.99,14238.1,0,278,14238.11,14238.11,7.02,14238.11,7.02,,14238.1,0.0,427.0,213.0,14238.89,0.01
1n20_3,15629.71,16072.32,2.83,63.27,15799.7,1.09,666,15629.71,15629.71,0.0,15629.71,0.0,,15632.4,0.02,1604.0,1278.0,15647.89,0.12
1n20_4,17203.52,17851.02,3.76,64.25,17341,0.80,581,17203.52,17237.55,0.2,17203.52,0.0,,17206.6,0.02,2477.0,2477.0,17260.2,0.33
1n20_5,18710.33,20252.22,8.24,47.94,18939.8,1.23,537,18710.33,18843.95,0.71,18710.33,0.0,,18668.2,-0.23,2645.0,2645.0,18730.09,0.11
2n20_2,13590.81,13950.93,2.65,88.91,13599.8,0.07,184,13590.81,13590.81,0.0,13590.81,0.0,,13591.1,0.0,475.0,208.0,13600.29,0.07
2n20_3,14130.61,14507.73,2.67,73.05,14207.7,0.55,334,14130.61,14140.33,0.07,14130.61,0.0,,14135.1,0.03,221.0,77.0,14136.45,0.04
2n20_4,14802.27,15347.33,3.68,53.47,14879.2,0.52,457,14802.27,14810.55,0.06,14802.27,0.0,,14804.1,0.01,2050.0,2050.0,14808.12,0.04
2n20_5,15493.87,16495.73,6.47,50.52,15513.5,0.13,428,15493.87,15502.76,0.06,15493.87,0.0,,15493.9,0.0,1480.0,1480.0,15494.76,0.01
3n20_2,13774.43,14174.61,2.91,87.63,13824.3,0.36,348,13774.43,13774.43,0.0,13774.43,0.0,,13774.4,0.0,394.0,394.0,13774.49,0.0
3n20_3,14721.41,15083.71,2.46,75.56,14721.7,0.00,141,14721.41,14721.41,0.0,14721.41,0.0,,14722.0,0.0,622.0,447.0,14736.94,0.11
3n20_4,15699.78,16257.21,3.55,49.78,15744.2,0.28,427,15699.78,15732.6,0.21,15731.78,0.2,,15704.2,0.03,2155.0,1730.0,15727.42,0.18
3n20_5,16803.25,17697.21,5.32,49.65,16917.1,0.68,554,16803.25,16841.63,0.23,16804.79,0.01,,16804.6,0.01,978.0,718.0,16806.12,0.02
4n20_2,14317.13,14710.08,2.74,118.74,14328.7,0.08,430,14317.13,14317.13,0.0,14325.61,0.06,,14318.2,0.01,691.0,691.0,14318.84,0.01
4n20_3,15976.18,16470.98,3.10,74.97,16122,0.91,537,15976.18,15976.18,0.0,15987.37,0.07,,16007.7,0.2,2507.0,2507.0,16052.01,0.47
4n20_4,17629.35,18380.48,4.26,58.08,17791.4,0.92,949,17629.35,17634.81,0.03,17664.35,0.2,,17639.5,0.06,2030.0,2030.0,17668.7,0.22
4n20_5,19227.49,20310.88,5.63,58.54,19388.1,0.84,478,19227.49,19227.49,0.0,19303.98,0.4,,19226.7,0.0,2836.0,2836.0,19244.09,0.09
5n20_2,15688.66,16181.44,3.14,107.2,15748.4,0.38,432,15688.66,15688.66,0.0,15694.14,0.03,,15694.1,0.03,827.0,530.0,15695.31,0.04
5n20_3,17553.89,18289.64,4.19,93.18,17877.4,1.84,896,17553.89,17556.15,0.01,17563.91,0.06,,17550.6,-0.02,386.0,209.0,17554.86,0.01
5n20_4,19641.41,20293.64,3.32,59.64,19769.3,0.65,840,19641.41,19738.29,0.49,19676.58,0.18,,19617.1,-0.12,2532.0,2532.0,19630.94,-0.05
5n20_5,21579.85,22677.74,5.09,64.38,21664.4,0.39,577,21579.85,21579.85,0.0,21634.84,0.25,,21619.5,0.18,3555.0,3555.0,21684.74,0.49
1n25_2,14623.88,15018.29,2.70,144.63,14663.7,0.27,202,14623.88,14623.88,0.0,14623.88,0.0,,14623.9,0.0,642.0,642.0,14624.52,0.0
1n25_3,15577.79,15889.39,2.00,100.89,15599,0.14,798,15577.79,15626.68,0.31,15577.79,0.0,,15577.8,0.0,643.0,455.0,15577.85,0.0
1n25_4,16508.56,17254.49,4.52,137.09,16611.4,0.62,814,16508.56,16508.56,0.0,16510.88,0.01,,16513.4,0.03,1224.0,1022.0,16532.39,0.14
1n25_5,17459.08,18451.69,5.69,113.27,17493.8,0.20,802,17459.08,17459.08,0.0,17471.91,0.07,,17461.0,0.01,3544.0,3544.0,17491.62,0.19
2n25_2,16086.07,16276.51,1.184,140.72,16119,0.20,494,16086.07,16107.4,0.13,16112.2,0.16,,16087.6,0.01,1484.0,1484.0,16089.79,0.02
2n25_3,17488.64,17967.91,2.74,156.8,17521.3,0.19,751,17488.64,17501.7,0.07,17488.64,0.0,,17486.9,-0.01,987.0,780.0,17501.03,0.07
2n25_4,18836.55,19509.61,3.57,131.81,19335.4,2.65,879,18836.55,19039.69,1.08,18887.33,0.27,,18847.7,0.06,888.0,638.0,18891.38,0.29
2n25_5,20407.23,21415.11,4.94,166.38,20720,1.53,812,20407.23,20534.21,0.62,20436.43,0.14,,20360.0,-0.23,3946.0,3946.0,20418.8,0.06
3n25_2,17363.3,18375.13,5.83,150.36,17363.3,0,299,17363.33,17363.33,0.00,17363.33,0.00,,17363.3,0.0,922.0,593.0,17370.46,0.04
