"CO=HC, H=6",,\rho=50,,,,\rho=75,,,,\rho=100,,,,\rho=300,,,
Instance,K,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST,sHGS,avgHGS,tHGS,BST
3n25_4,5,22839.8,23224.7,629.0,518.0,22779.3,23157.1,439.0,339.0,22783.6,23634.3,560.0,470.0,22907.7,22960.7,389.0,296.0
3n30_1,2,20997.3,21134.5,192.0,157.0,21000.5,21104.3,147.0,113.0,20993.0,21542.69,145.0,112.0,21000.1,21134.5,158.0,126.0
3n30_2,3,21910.6,22289.2,338.0,285.0,21921.6,22151.8,214.0,163.0,21904.9,22494.91,367.0,312.0,21933.8,21942.0,249.0,197.0
3n30_3,4,22818.8,22823.3,389.0,333.0,22821.2,22856.1,383.0,313.0,22816.5,23051.75,480.0,416.0,22821.9,22848.5,344.0,275.0
3n30_4,5,23836.0,24352.4,638.0,565.0,23858.6,23915.8,409.0,336.0,23852.7,24247.11,279.0,207.0,23883.6,23883.6,437.0,386.0
3n35_1,2,24546.7,24601.4,227.0,183.0,24545.4,24547.4,197.0,154.0,24541.3,25104.62,407.0,367.0,24538.2,24560.0,421.0,381.0
3n35_2,3,26090.3,26461.7,341.0,279.0,26090.3,26448.7,388.0,331.0,26092.2,26975.01,418.0,362.0,26086.2,26142.3,642.0,581.0
3n35_3,4,27888.9,28111.7,751.0,664.0,27886.2,28360.9,542.0,467.0,27856.7,28831.06,525.0,440.0,27950.1,28035.1,302.0,209.0
3n35_4,5,29791.2,30411.8,775.0,640.0,29755.5,30330.7,659.0,540.0,29757.2,30548.31,709.0,598.0,29709.7,30061.3,938.0,821.0
3n40_1,2,24597.2,25045.9,181.0,131.0,24616.5,24890.8,204.0,159.0,24613.6,25117.74,269.0,223.0,24625.5,24640.2,247.0,201.0
3n40_2,3,25282.3,25471.6,483.0,422.0,25282.5,25516.3,248.0,186.0,25280.6,25624.7,276.0,218.0,25285.0,25556.5,311.0,256.0
3n40_3,4,26209.5,26316.6,701.0,621.0,26229.2,26405.3,446.0,367.0,26202.6,26635.7,489.0,405.0,26230.3,26447.0,356.0,270.0
3n40_4,5,27074.7,27559.5,718.0,626.0,27107.6,27634.3,827.0,727.0,27137.7,27831.85,604.0,517.0,27125.1,27328.2,530.0,441.0
3n45_1,2,25199.7,25205.7,358.0,305.0,25199.9,25407.5,298.0,247.0,25202.8,25841.45,227.0,173.0,25200.7,25335.4,285.0,233.0
3n45_2,3,25762.0,25784.0,531.0,460.0,25763.9,25785.5,527.0,458.0,25759.2,26103.79,391.0,321.0,25762.8,25789.9,598.0,526.0
3n45_3,4,26520.0,27048.1,534.0,463.0,26506.0,26744.1,501.0,417.0,26503.4,26828.41,332.0,242.0,26464.5,26667.5,522.0,436.0
3n45_4,5,27257.4,27637.9,401.0,293.0,27257.5,27575.3,580.0,480.0,27248.0,27780.88,583.0,481.0,27255.2,27409.3,838.0,741.0
3n50_1,2,27288.1,27552.1,242.0,170.0,27304.2,27553.1,488.0,415.0,27269.3,28005.35,435.0,362.0,27282.8,27549.0,318.0,247.0
3n50_2,3,28467.3,28675.9,475.0,376.0,28504.2,28871.9,489.0,393.0,28405.3,29410.29,400.0,296.0,28518.7,28791.1,485.0,392.0
3n50_3,4,29883.2,30401.6,682.0,547.0,29893.6,30184.9,701.0,578.0,29845.9,30395.29,753.0,632.0,29932.4,30277.2,625.0,500.0
3n50_4,5,31342.8,31664.3,651.0,479.0,31415.8,31954.9,644.0,467.0,31393.9,32211.88,864.0,716.0,31461.1,31568.3,455.0,302.0
4n10_1,2,9062.56,9217.77,18.0,4.0,9194.8,9622.99,28.0,15.0,9284.36,9746.53,33.0,18.0,9288.35,9488.21,23.0,8.0
