Detailed results on small-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,BST,CostAvg,GapAvg
3n15_3,8038.43,8537.52,6.21,30.5,8100.49,0.77,212,8038.43,8046.61,0.1,8043.5,0.06,,8040.65,0.03,1200.0,1200.0,8043.84,0.07
3n15_4,9163.67,9666.99,5.49,22.76,9229.83,0.72,334,9163.67,9163.67,0.0,9163.67,0.0,,9163.67,0.00,586.0,586.0,9164.27,0.01
3n15_5,10312.11,10976.91,6.45,20.64,10334.2,0.21,124,10312.11,10316.24,0.04,10312.11,0.0,,10315.2,0.03,1783.0,1783.0,10318.01,0.06
4n15_2,6047.59,6529.43,7.97,37.05,6080.23,0.54,121,6047.59,6047.59,0.0,6047.59,0.0,,6047.59,0.00,161.0,161.0,6047.59,0.0
4n15_3,7078.42,7513.83,6.15,24.93,7107.6,0.41,237,7078.42,7078.42,0.0,7078.42,0.0,,7078.42,0.00,299.0,299.0,7078.42,0.0
4n15_4,8271.52,9247.69,11.80,20.36,8380.27,1.31,602,8271.52,8360.21,1.07,8271.52,0.0,,8275.86,0.05,872.0,872.0,8332.92,0.74
4n15_5,9306.71,10752.42,15.53,21.71,9378.76,0.77,223,9306.71,9364.86,0.62,9320.71,0.15,,9373.8,0.72,1041.0,1041.0,9382.82,0.82
5n15_2,6280.02,6576.52,4.72,37.5,6329.62,0.79,155,6280.02,6280.02,0.0,6280.02,0.0,,6280.02,0.00,230.0,230.0,6280.02,0.0
5n15_3,7520.76,8107.22,7.80,34.18,7530.34,0.13,124,7520.76,7592.92,0.96,7520.76,0.0,,7520.76,0.00,258.0,258.0,7520.83,0.0
5n15_4,8869.49,9786.56,10.34,23.75,8893.98,0.28,367,8869.49,8872.4,0.03,8879.68,0.11,,8868.49,-0.01,1110.0,1110.0,8888.7,0.22
5n15_5,10350.82,11626.23,12.32,17.73,10381.1,0.30,161,10350.82,10350.82,0.0,10352.08,0.01,,10350.8,-0.00,1356.0,1356.0,10377.6,0.26
1n20_2,7259.97,7652.14,5.40,82.84,7263.17,0.04,842,7259.97,7263.17,0.04,7259.97,0.0,,7259.97,0.00,277.0,53.0,7260.03,0.0
1n20_3,8653.32,9715.52,12.28,65.07,8865.23,2.45,840,8653.32,8676.06,0.26,8654.67,0.02,,8653.51,0.00,1089.0,1089.0,8662.71,0.11
1n20_4,10176.68,10795.95,6.09,57.84,10240,0.62,664,10176.68,10212.27,0.35,10177.78,0.01,,10177.3,0.01,2278.0,1981.0,10212.44,0.35
1n20_5,11643.7,12493.05,7.29,51.78,11741.8,0.84,593,11643.7,11643.7,0.0,11687.19,0.37,,11643.8,0.0,1504.0,1253.0,11643.8,0.0
2n20_2,6221.85,6478,4.12,62.79,6305.73,1.35,154,6221.85,6224.62,0.04,6221.85,0.0,,6222.01,0.00,654.0,381.0,6224.62,0.04
2n20_3,6791.26,7198.77,6.00,57.99,6849.07,0.85,144,6791.26,6833.48,0.62,6791.27,0.0,,6791.31,0.00,562.0,402.0,6794.22,0.04
2n20_4,7453.57,7723.03,3.62,42.07,7470.35,0.23,541,7453.57,7488.16,0.46,7453.57,0.0,,7459.42,0.08,646.0,433.0,7469.21,0.21
2n20_5,8150.84,8999.98,10.42,44.23,8213.04,0.76,406,8150.84,8150.84,0.0,8150.84,0.0,,8150.84,0.00,972.0,496.0,8157.91,0.09
3n20_2,7351.06,7791.47,5.99,63.5,7362.74,0.16,431,7351.06,7351.26,0.0,7354.84,0.05,,7351.06,0.00,746.0,746.0,7355.14,0.06
3n20_3,8264.7,8737.14,5.72,65.27,8264.7,0,435,8264.7,8264.7,0.0,8303.68,0.47,,8264.73,0.00,834.0,834.0,8271.79,0.09
3n20_4,9260.59,9813.28,5.97,50.22,9315.87,0.60,803,9260.59,9302.87,0.46,9260.59,0.0,,9288.68,0.30,543.0,370.0,9298.42,0.41
3n20_5,10362.82,11168.65,7.78,43,10454.7,0.89,649,10362.82,10364.9,0.02,10484.9,1.18,,10362.8,-0.00,1562.0,1300.0,10362.82,0.0
4n20_2,8200.31,8467.96,3.26,75.91,8362.1,1.97,282,8200.31,8202.12,0.02,8200.31,0.0,,8200.31,0.00,556.0,255.0,8203.59,0.04
4n20_3,9853.71,10368.71,5.23,60.13,10074.1,2.24,1078,9853.71,9853.71,0.0,9980.88,1.29,,9890.83,0.38,1030.0,840.0,9924.99,0.72
4n20_4,11504.9,12127.31,5.41,53.66,11564.1,0.51,1325,11504.9,11515.94,0.10,11551.29,0.40,,11535.7,0.3,1496.0,1496.0,11574.76,0.61
4n20_5,13125.07,14196.91,8.17,52.2,13258.8,1.02,835,13125.07,13171.42,0.35,13186.06,0.46,,13129.9,0.04,2031.0,2031.0,13145.54,0.16
5n20_2,8368.81,8805,5.21,76.01,8513.38,1.73,507,8368.81,8368.81,0.0,8467.42,1.18,,8375.32,0.08,929.0,929.0,8381.11,0.15
5n20_3,10220.75,10937.09,7.01,73.62,10277.1,0.55,385,10220.75,10282.98,0.61,10280.58,0.59,,10230.2,0.09,1475.0,1076.0,10258.42,0.37
5n20_4,12271.36,13024.39,6.14,55.48,12449.6,1.45,1029,12271.36,12271.36,0.0,12366.28,0.77,,12270.8,-0.00,1968.0,1968.0,12298.62,0.22
5n20_5,14194.86,15975.49,12.54,48.86,14329.3,0.95,890,14194.86,14326.93,0.93,14291.09,0.68,,14262.3,0.48,2585.0,2244.0,14310.7,0.82
1n25_2,7329.86,7760.72,5.89,119.73,7329.86,0,149,7329.86,7329.86,0.0,7329.86,0.0,,7329.86,0.00,396.0,396.0,7329.86,0.0
1n25_3,8275.38,8578.12,3.66,117.16,8348.04,0.88,801,8275.38,8337.86,0.76,8275.59,0.0,,8275.38,0.00,1767.0,1362.0,8316.95,0.5
1n25_4,9261.58,9777.58,5.57,101.89,9322.87,0.66,1039,9261.58,9299.3,0.41,9261.58,0.0,,9266.28,0.05,1009.0,776.0,9276.54,0.16
1n25_5,10152.07,10930.39,7.67,78.64,10312,1.58,815,10152.07,10184.83,0.32,10199.34,0.47,,10173.1,0.21,2544.0,2544.0,10210.23,0.57
2n25_2,8162.59,8567.49,4.96,92.32,8190.85,0.35,364,8162.59,8182.76,0.25,8186.09,0.29,,8161.73,-0.01,1115.0,1115.0,8161.82,-0.01
2n25_3,9555.54,10005.82,4.71,122.52,9578.66,0.24,1379,9555.54,9555.54,0.0,9566.4,0.11,,9516.92,-0.40,843.0,612.0,9553.62,-0.02
