Detailed results on small-scaled data with CO=HC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,GapAvg
4n20_2,6335.48,6462.98,2.01,27.12,6347.13,0.18,114.0,6335.48,6335.48,0.0,6335.48,0.0,,6335.48,0.00,70.0,5.0,6335.48,0.0
4n20_3,6873.98,6944.04,1.02,22.58,6921.97,0.7,232.0,6873.98,6873.98,0.0,6873.98,0.0,,6873.98,0.00,83.0,30.0,6873.98,0.0
4n20_4,7544.51,7557.73,0.18,25.57,7547.72,0.04,399.0,7544.51,7544.51,0.0,7544.51,0.0,,7544.51,0.00,94.0,8.0,7544.51,0.0
4n20_5,8071.58,8369.72,3.69,18.54,8129.46,0.72,99.0,8071.58,8071.58,0.0,8090.85,0.24,,8071.58,0.00,169.0,169.0,8071.58,0.0
5n20_2,7003.41,7202.65,2.84,24.81,7003.41,0.0,84.0,7003.41,7003.41,0.0,7003.41,0.0,,7003.41,0.00,57.0,2.0,7003.41,0.0
5n20_3,7711.03,7956.16,3.18,35.47,7711.03,0.0,200.0,7711.03,7711.03,0.0,7711.03,0.0,,7711.03,0.00,82.0,4.0,7711.03,0.0
5n20_4,8344.6,8626.47,3.38,28.87,8360.77,0.19,208.0,8344.6,8344.6,0.0,8344.6,0.0,,8344.6,0.0,88.0,8.0,8344.6,0.0
5n20_5,9149.22,9226.97,0.85,20.29,9196.64,0.52,674.0,9149.22,9149.22,0.0,9155.67,0.07,,9149.22,0.00,153.0,12.0,9149.22,0.0
1n25_2,7053.13,7255.05,2.86,42.59,7053.13,0.0,82.0,7053.13,7053.13,0.0,7053.13,0.0,,7053.13,0.00,56.0,5.0,7053.13,0.0
1n25_3,7424.85,7572.07,1.98,43.28,7424.85,0.0,297.0,7424.85,7424.85,0.0,7424.85,0.0,,7425.73,0.01,104.0,34.0,7425.93,0.01
1n25_4,7818.93,7897.33,1.0,44.35,7840.95,0.28,615.0,7818.93,7818.93,0.0,7818.93,0.0,,7818.93,0.00,78.0,15.0,7818.93,0.0
1n25_5,8004.24,8041.67,0.47,32.82,8004.24,0.0,183.0,8004.24,8004.24,0.0,8004.24,0.0,,8004.24,0.00,86.0,13.0,8004.24,0.0
2n25_2,7647.13,7721.87,0.98,46.57,7647.13,0.0,288.0,7647.13,7647.13,0.0,7647.13,0.0,,7647.13,0.00,73.0,2.0,7647.13,0.0
2n25_3,8097.37,8109.08,0.14,41.46,8097.37,0.0,463.0,8097.37,8097.37,0.0,8097.37,0.0,,8097.37,0.00,91.0,5.0,8097.37,0.0
2n25_4,8648.13,8738.03,1.04,41.66,8693.13,0.52,603.0,8648.13,8652.6,0.05,8648.13,0.0,,8648.13,0.00,62.0,8.0,8650.92,0.03
2n25_5,9147.27,9337.93,2.08,42.35,9169.91,0.25,310.0,9147.27,9147.27,0.0,9147.27,0.0,,9147.27,0.00,93.0,5.0,9147.27,0.0
3n25_2,8030.23,8030.23,0.0,34.45,8037.83,0.09,88.0,8030.57,8030.57,0.0,8030.57,0.0,,8030.57,0.00,64.0,7.0,8030.57,0.0
3n25_3,8629.85,8677.57,0.55,39.58,8629.85,0.0,122.0,8629.85,8629.85,0.0,8629.85,0.0,,8629.85,0.00,79.0,16.0,8629.85,0.0
3n25_4,9252.55,9261.87,0.1,35.2,9252.55,0.0,158.0,9252.55,9252.55,0.0,9252.55,0.0,,9252.55,0.00,101.0,17.0,9252.55,0.0
3n25_5,9833.15,9918.77,0.87,37.41,9833.15,0.0,380.0,9833.15,9833.15,0.0,9833.15,0.0,,9837.57,0.04,79.0,6.0,9842.8,0.1
4n25_2,7159.82,7210.23,0.7,37.03,7159.82,0.0,79.0,7159.82,7159.82,0.0,7159.82,0.0,,7159.82,0.00,72.0,2.0,7159.82,0.0
4n25_3,7577.28,7593.8,0.22,29.59,7585.78,0.11,276.0,7577.28,7577.28,0.0,7577.28,0.0,,7577.28,0.00,94.0,14.0,7577.28,0.0
4n25_4,7964.99,7964.99,0.0,30.1,7966.83,0.02,572.0,7965.14,7966.83,0.02,7966.83,0.02,,7965.14,0.00,125.0,69.0,7965.14,0.0
4n25_5,8248.16,8331.69,1.01,35.87,8308.54,0.73,645.0,8248.16,8248.16,0.0,8248.16,0.0,,8248.16,0.00,122.0,23.0,8248.16,0.0
5n25_2,8610.39,8610.39,0.0,28.96,8610.47,0.0,80.0,8610.47,8610.47,0.0,8610.47,0.0,,8610.47,0.00,72.0,3.0,8610.47,0.0
5n25_3,9228.09,9228.09,0.0,29.4,9228.11,0.0,287.0,9228.11,9228.11,0.0,9228.11,0.0,,9228.11,0.00,93.0,31.0,9242.23,0.15
5n25_4,9783.17,9790.79,0.08,26.62,9790.97,0.08,441.0,9783.17,9783.17,0.0,9783.17,0.0,,9783.17,0.00,128.0,128.0,9783.2,0.0
5n25_5,10429.1,10741.19,2.99,51.84,10429.1,0.0,517.0,10429.11,10467.58,0.37,10429.11,9.59,,10429.1,0.0,127.0,32.0,10429.1,0.0
1n30_2,10052.78,10233.8,1.80,70.78,10052.8,0.00,155.0,10052.78,10052.78,0.0,10052.78,0.0,,10052.8,0.00,67.0,15.0,10052.88,0.0
1n30_3,10511.8,10519.6,0.1,62.36,10511.8,0.0,984.0,10511.8,10511.8,0.0,10511.8,0.0,,10511.8,0.0,115.0,22.0,10511.8,0.0
1n30_4,11009.1,11016.7,0.1,49.72,11041.3,0.3,959.0,11009.1,11009.1,0.0,11009.1,0.0,,11009.1,0.0,133.0,42.0,11009.1,0.0
1n30_5,11593.4,11621.0,0.24,53.45,11708.9,1.0,650.0,11593.4,11593.4,0.0,11593.4,0.0,,11593.4,0.0,172.0,79.0,11596.49,0.03
2n30_2,9156.11,9199.51,0.47,47.27,9156.11,0.0,119.0,9156.11,9156.11,0.0,9156.11,0.0,,9156.11,0.00,89.0,15.0,9156.11,0.0
2n30_3,9584.21,9584.21,0.0,61.78,9661.21,0.8,573.0,9584.47,9584.47,0.0,9584.47,0.0,,9584.47,0.00,124.0,31.0,9603.81,0.2
2n30_4,9926.79,9931.91,0.05,73.71,9972.91,0.46,746.0,9926.79,9926.79,0.0,9926.79,0.0,,9926.79,0.00,180.0,59.0,9928.83,0.02
2n30_5,10373.61,10373.61,0.0,69.1,10438.8,0.63,883.0,10373.61,10373.61,0.0,10373.61,0.0,,10362.8,-0.10,174.0,18.0,10362.8,-0.1
3n30_2,9826.55,9826.55,0.0,69.16,9826.71,0.0,87.0,9826.71,9826.71,0.0,9826.71,0.0,,9826.71,0.00,72.0,12.0,9826.71,0.0
3n30_3,10037.2,10037.25,0.00,69.98,10037.2,0.0,94.0,10037.21,10037.21,9.96,10037.21,9.96,,10037.2,0.0,126.0,23.0,10037.2,0.0
3n30_4,10372.65,10372.65,0.0,78.1,10372.9,0.00,183.0,10372.87,10372.87,0.0,10372.87,0.0,,10372.9,0.00,77.0,15.0,10372.9,0.0
3n30_5,10678.15,10678.15,0.0,61.36,10678.3,0.00,559.0,10678.31,10678.31,0.0,10678.31,0.0,,10678.3,0.00,138.0,15.0,10678.3,0.0
4n30_2,8223.26,8262.38,0.48,61.87,8232.36,0.11,197.0,8223.26,8223.26,0.0,8223.26,0.0,,8223.26,0.00,176.0,59.0,8224.65,0.02
4n30_3,8546.37,8577.98,0.37,57.25,8623.99,0.91,531.0,8546.37,8546.37,0.0,8546.37,0.0,,8546.37,0.00,118.0,14.0,8546.37,0.0
4n30_4,9035.54,9156.98,1.34,65.67,9219.31,2.03,589.0,9035.54,9035.54,0.0,9035.54,0.0,,9035.54,0.00,157.0,76.0,9035.54,0.0
4n30_5,9492.93,9631.88,1.46,51.62,9884.8,4.13,514.0,9492.93,9547.76,0.58,9577.65,0.89,,9492.95,0.00,340.0,240.0,9493.48,0.01
5n30_2,8115.83,8256.07,1.73,56.43,8115.83,0.0,292.0,8115.83,8115.83,0.0,8115.83,0.0,,8115.83,0.00,125.0,9.0,8115.83,0.0
5n30_3,8502.67,8502.67,0.0,72.51,8502.79,0.0,731.0,8502.79,8502.79,0.0,8502.79,0.0,,8502.79,0.00,110.0,32.0,8502.79,0.0
5n30_4,8910.03,8922.07,0.14,81.21,8972.83,0.7,572.0,8910.03,8910.03,0.0,8910.03,0.0,,8910.03,0.00,133.0,48.0,8910.03,0.0
5n30_5,9272.27,9291.67,0.21,68.45,9427.62,1.68,677.0,9272.27,9274.62,0.03,9272.27,0.0,,9272.27,0.00,208.0,184.0,9272.71,0.0
1n35_2,9648.24,9648.24,0.0,76.91,9648.24,0.0,101.0,9648.24,9648.24,0.0,9648.24,0.0,,9648.24,0.00,112.0,22.0,9648.24,0.0
1n35_3,10121.9,10140.94,0.19,107.22,10121.9,0.0,492.0,10121.9,10121.9,0.0,10121.9,0.0,,10121.9,0.0,303.0,181.0,10123.55,0.02
1n35_4,10424.74,10424.74,0.0,84.86,10425.3,0.01,785.0,10425.3,10425.3,0.01,10425.3,0.01,,10425.3,0.01,149.0,149.0,10425.3,0.01
1n35_5,10831.9,10868.14,0.33,77.71,10831.9,0.0,816.0,10831.94,10831.94,0.00,10831.94,0.00,,10831.9,0.0,270.0,109.0,10832.15,0.0
2n35_2,8844.93,8958.09,1.28,65.92,8989.72,1.64,381.0,8844.93,8844.93,0.0,8844.93,0.0,,8844.93,0.00,109.0,18.0,8844.93,0.0
