"CO=HC, H=6",,\rho=50,,,\rho=75,,,\rho=100,,,\rho=300,,
Instance,Veh,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST,sHGS,tHGS,BST
9n100_4,5,58356.4,989.0,706.0,58767.8,1165.0,726.0,58361.1,1494.0,1130.0,58227.3,1050.0,783.0
9n200_1,2,91899.7,2400.0,2202.4,92231.4,2400.0,1837.3,92069.2,2238.0,2008.0,92087.4,1969.0,1753.0
9n200_2,3,92998.9,2400.0,2177.5,93500.9,2400.0,1560.4,93125.5,2833.0,2516.0,92930.1,2400.0,2164.0
9n200_3,4,94287.4,2400.0,2172.1,94720.3,2400.0,1789.7,94362.7,4440.0,4094.0,94406.9,2400.0,2126.7
9n200_4,5,95926.2,2400.0,2181.0,96615.9,2400.0,1575.4,95972.3,3022.0,2556.0,96286.3,2400.0,1997.4
10n50_1,2,29022.2,424.0,365.0,29030.6,369.0,306.0,29019.3,409.0,350.0,29019.2,281.0,219.0
10n50_2,3,30586.0,462.0,377.0,30965.9,411.0,326.0,30620.9,517.0,436.0,30634.9,402.0,318.0
10n50_3,4,32569.5,594.0,477.0,32772.8,670.0,576.0,32540.1,543.0,434.0,32544.9,627.0,515.0
10n50_4,5,34485.4,792.0,644.0,34692.9,661.0,538.0,34584.5,694.0,586.0,34623.1,604.0,444.0
10n100_1,2,50118.1,832.0,653.0,50215.2,863.0,665.0,50032.0,724.0,586.0,50170.1,849.0,729.0
10n100_2,3,50925.0,872.0,720.0,51451.5,1044.0,783.0,50857.8,1548.0,1415.0,50879.6,1212.0,1059.0
10n100_3,4,51858.5,1474.0,1270.0,52043.2,1515.0,1199.0,51900.0,847.0,653.0,51914.5,1041.0,861.0
10n100_4,5,52969.6,1127.0,915.0,53356.6,1861.0,1491.0,52996.8,2102.0,1869.0,53042.4,1447.0,1201.0
10n200_1,2,95320.1,2400.0,2178.2,95367.8,2384.0,1709.0,95407.5,2372.0,2126.0,95382.3,1957.0,1710.0
10n200_2,3,96391.5,2400.0,2165.4,96842.1,2400.0,1672.8,96537.9,2810.0,2481.0,96390.2,2400.0,2141.5
10n200_3,4,97905.9,2400.0,2164.1,97976.5,2400.0,1754.1,97896.3,3571.0,3207.0,97967.6,2400.0,2106.9
10n200_4,5,99598.6,2400.0,2198.2,99970.3,2400.0,1768.8,99637.8,3362.0,2920.0,99627.0,2400.0,1981.0
