Detailed results on small-scaled data with CO=LC and T=3,,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,BestDIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gapb,tHGS,BST,CostAvg,Gapavg
3n25_4,4508.71,4516.12,0.16,29.91,4508.71,0.0,230.0,4508.71,4508.71,0.0,4508.71,0.0,,4508.71,0.0,100.0,100.0,4508.71,0.0
3n25_5,5070.69,5070.69,0.0,29.77,5070.77,0.00,218.0,5070.77,5070.77,0.00,5070.77,0.00,,5096.09,0.5,114.0,41.0,5102.45,0.63
4n25_2,3099.69,3099.69,0.0,26.53,3099.7,0.00,80.0,3099.7,3099.7,0.00,3099.7,0.00,,3099.7,0.0,76.0,76.0,3099.7,0.0
4n25_3,3511.2,3551.08,1.136,27.35,3531.99,0.59,187.0,3511.2,3511.2,0.0,3511.2,0.0,,3511.2,0.0,97.0,97.0,3511.22,0.0
4n25_4,3896.89,3896.89,0.0,25.86,3943.83,1.20,451.0,3896.9,3921.33,0.63,3919.1,0.57,,3896.9,0.0,144.0,144.0,3897.03,0.0
4n25_5,4230.86,4295.93,1.54,30.23,4303.91,1.73,500.0,4230.86,4230.86,0.0,4230.86,0.0,,4230.86,0.0,109.0,109.0,4230.86,0.0
5n25_2,3304.75,3304.75,0.0,29.58,3304.76,0.00,88.0,3304.76,3304.76,0.00,3304.76,0.00,,3304.76,0.0,66.0,66.0,3341.14,1.1
5n25_3,3918.3,3918.3,0.0,29.31,3918.3,0.0,138.0,3918.3,3918.3,0.0,3918.3,0.0,,3918.3,0.0,87.0,87.0,3950.94,0.83
5n25_4,4470.86,4478.45,0.17,27.63,4470.86,0.0,669.0,4470.86,4470.86,0.0,4470.86,0.0,,4470.86,0.0,120.0,120.0,4482.75,0.27
5n25_5,5112.2,5113.07,0.02,25.01,5113.12,0.02,870.0,5112.2,5112.2,0.0,5112.2,0.0,,5112.2,0.0,126.0,126.0,5112.2,0.0
1n30_2,3565.6,3842.93,7.78,46.42,3565.6,0.0,99.0,3565.6,3565.6,0.0,3565.6,0.0,,3565.6,0.0,81.0,81.0,3565.6,0.0
1n30_3,4013.46,4034.6,0.53,43.13,4013.46,0.0,227.0,4013.46,4013.46,0.0,4013.46,0.0,,4013.46,0.0,110.0,110.0,4013.46,0.0
1n30_4,4509.58,4527.78,0.40,41.59,4530.94,0.47,754.0,4509.58,4509.58,0.0,4509.58,0.0,,4509.58,0.0,140.0,14.0,4509.86,0.01
1n30_5,5076.56,5121.98,0.89,40.03,5130.46,1.06,943.0,5076.56,5123.59,0.93,5076.56,0.0,,5076.56,0.0,242.0,45.0,5087.94,0.22
2n30_2,3435.42,3476.16,1.186,40.55,3435.42,0.0,98.0,3435.42,3435.42,0.0,3435.42,0.0,,3435.42,0.0,85.0,85.0,3435.42,0.0
2n30_3,3892.59,3894.46,0.05,42.01,3949.46,1.46,450.0,3892.59,3892.59,0.0,3892.59,0.0,,3892.59,0.0,110.0,110.0,3892.59,0.0
2n30_4,4219.79,4221.81,0.05,49.39,4262.51,1.01,639.0,4219.79,4219.79,0.0,4219.79,0.0,,4219.79,0.0,134.0,66.0,4219.79,0.0
2n30_5,4669.58,4669.58,0.0,51.03,4750.2,1.73,717.0,4669.58,4669.58,0.0,4669.58,0.0,,4669.58,0.0,181.0,181.0,4670.71,0.02
3n30_2,3369.21,3369.21,0.0,44.01,3369.22,0.00,96.0,3369.22,3369.22,0.00,3369.22,0.00,,3369.22,0.0,75.0,75.0,3545.65,5.24
3n30_3,3573.68,3573.68,0.0,47.03,3573.68,0.0,89.0,3573.68,3573.68,0.0,3573.68,0.0,,3573.68,0.0,100.0,100.0,3606.34,0.91
3n30_4,3895.12,3895.12,0.0,47.61,3895.14,0.00,89.0,3895.14,3895.14,0.00,3895.14,0.00,,3895.14,0.0,117.0,117.0,3895.14,0.0
3n30_5,4211.94,4211.94,0.0,40.61,4211.96,0.00,814.0,4211.96,4211.96,0.00,4211.96,0.00,,4211.96,0.0,117.0,117.0,4211.96,0.0
4n30_2,3422.3,3476.28,1.58,45.92,3422.3,0.0,204.0,3422.3,3422.3,0.0,3422.3,0.0,,3422.3,0.0,105.0,105.0,3422.3,0.0
4n30_3,3782.8,3789.35,0.17,38.38,3813.91,0.82,672.0,3782.8,3782.8,0.0,3782.8,0.0,,3782.8,0.0,122.0,122.0,3782.8,0.0
4n30_4,4240.89,4331.9,2.15,47.45,4323.44,1.95,748.0,4240.89,4397.62,3.7,4242.19,0.03,,4240.89,0.0,151.0,151.0,4240.89,0.0
