Detailed results on largel-scaled data with CO=LC and T=6,,,,,,,,,,,,,,,,,,
Instance,Best,sCCJ,Gap,tCCJ,sKS,Gap,tKS,DIMACS,sALNS,Gap,sBCHeu,Gap,,sHGS,Gap,tHGS,CostAvg,GapAvg
10n100_3,15838.94,16278.88,2.78,2314.2,18236.4,15.14,76.0,15838.94,16165.02,2.06,15838.94,0.0,,15674.3,-1.04,8533.0,15738.94,-0.63
10n100_4,16774.44,17758.38,5.87,1934.41,18726.3,11.64,72.0,16774.44,17147.15,2.22,16774.44,0.0,,16541.5,-1.39,7200.0,16610.82,-0.98
10n100_5,17837.54,18315.28,2.68,1496.74,19225.5,7.78,6529.0,17837.54,17837.54,0.00,17962.63,0.7,,17689.2,-0.83,12231.0,17729.9,-0.6
1n200_2,23018.03,23694.44,2.94,18503.8,25003.0,8.62,654.0,23018.03,23595.77,2.51,23018.03,0.0,,22910.1,-0.47,7200.0,23021.02,0.01
1n200_3,23631.1,24402.64,3.26,6383.75,27277.6,15.4,634.0,23631.1,23944.51,1.33,23631.1,0.0,,23482.7,-0.63,7200.0,23644.56,0.06
1n200_4,24304.2,25647.74,5.53,8134.57,27678.1,13.9,1070.0,24304.2,25241.81,3.86,24304.2,0.0,,24146.3,-0.65,7200.0,24248.52,-0.23
1n200_5,25120.88,25777.44,2.61,4537.14,28483.3,13.38,1156.0,25120.88,26115.89,3.96,25120.88,0.0,,25007.0,-0.45,18285.0,25404.76,1.13
2n200_2,23330.23,23921.43,2.53,13537.0,25337.9,8.61,403.0,23330.23,23763.03,1.86,23330.23,0.0,,23134.1,-0.84,7200.0,23265.14,-0.28
2n200_3,23860.55,24621.03,3.19,10965.8,28721.3,20.37,296.0,23860.55,24180.66,1.34,23860.55,0.0,,23793.4,-0.28,8508.0,23969.32,0.46
2n200_4,24639.25,25992.23,5.49,8461.93,29136.5,18.25,424.0,24639.25,26266.95,6.61,24639.25,0.0,,24654.4,0.06,12026.0,24791.48,0.62
2n200_5,25646.65,26637.23,3.86,6102.58,31336.3,22.18,479.0,25646.65,27888.25,8.74,25646.65,0.0,,25659.0,0.05,12156.0,25862.98,0.84
3n200_2,22844.62,23339.66,2.17,13784.3,26370.6,15.43,277.0,22844.62,23569.76,3.17,22844.62,0.0,,22657.5,-0.82,9929.0,22832.54,-0.05
3n200_3,23756.31,24620.06,3.64,7242.99,28596.1,20.37,988.0,23756.31,25031.61,5.37,23756.31,0.0,,23789.6,0.14,10915.0,24202.1,1.88
3n200_4,25045.08,26610.26,6.25,8289.17,28783.6,14.93,1278.0,25045.08,25663.76,2.47,25045.08,0.0,,25531.7,1.94,10936.0,25628.53,2.33
3n200_5,26702.24,28298.76,5.98,6894.08,31340.2,17.37,843.0,26702.24,27077.17,1.40,26702.24,0.0,,27030.6,1.23,16355.0,27338.62,2.38
4n200_2,23224.43,23972.06,3.22,10208.5,25112.0,8.13,504.0,23224.43,23737.17,2.21,23224.43,0.0,,22972.0,-1.09,7200.0,23037.14,-0.81
4n200_3,23609.28,25346.66,7.36,5738.73,26524.8,12.35,849.0,23609.28,24635.07,4.34,23609.28,0.0,,23457.1,-0.64,7200.0,23543.54,-0.28
